Countries;Barcelona;Girona;Lleida;Tarragona;Cataluña
Total;895770;169304;96517;157616;1319207
Total Unión Europea (UE27);330356;57123;46835;63990;498304
Rumanía;52836;21799;35330;35980;145945
Italia;95959;6091;1057;6169;109276
Francia;50501;10076;619;4150;65346
Alemania;27773;3766;304;2891;34734
Portugal;20200;2880;2111;2160;27351
Polonia;15943;2055;2497;2397;22892
Bulgaria;9272;2647;3460;3025;18404
Países Bajos;13222;2602;182;1622;17628
Suecia;10389;246;30;178;10843
Bélgica;5457;1796;103;1166;8522
Lituania;1916;615;248;1308;4087
República Checa;2409;412;131;599;3551
Eslovaquia;1697;433;298;735;3163
Irlanda;4302;357;53;314;5026
Hungría;3137;310;61;372;3880
Austria;2957;148;60;131;3296
Resto Unión Europea;12386;890;291;793;14360
Total resto Europa;64635;15026;5430;12698;97789
Reino Unido;29346;4429;448;4811;39034
Ucrania;9961;3682;3534;2623;19800
Rusia;13142;4987;648;2527;21304
Moldavia;1600;516;402;1136;3654
Suiza;3341;810;28;837;5016
Resto Europa;7245;602;370;764;8981
Total África;164377;58491;32482;49174;304524
Marruecos;123302;40902;17364;41311;222879
Gambia;5331;8234;1787;461;15813
Senegal;11286;3603;4369;3261;22519
Argelia;3289;785;2566;1892;8532
Mali;3508;2030;2257;314;8109
Nigeria;3651;477;561;719;5408
Ghana;5628;541;452;435;7056
Guinea;1947;725;1276;143;4091
Mauritania;1024;426;396;26;1872
Resto África;5411;768;1454;612;8245
Total América;181905;24588;7801;19533;233827
Ecuador;21445;1220;554;1726;24945
Colombia;17642;2979;1963;4201;26785
Bolivia;18393;1995;576;1154;22118
Perú;15337;820;618;880;17655
República Dominicana;13351;1203;694;1165;16413
Argentina;14683;1988;472;2304;19447
Brasil;10458;1685;996;1795;14934
Chile;5615;798;172;704;7289
Uruguai;4426;1079;129;783;6417
Cuba;4798;848;277;1010;6933
Honduras;11515;7069;270;611;19465
Paraguai;8214;274;93;481;9062
Venezuela;19862;1375;695;1673;23605
Méjico;4251;301;115;377;5044
Estados Unidos;6608;471;74;306;7459
Resto América;5307;483;103;363;6256
Total Asia;153543;13915;3937;12140;183535
China;55462;4952;2155;4148;66717
Paquistán;45404;1283;1003;4518;52208
India;16781;5877;394;1823;24875
Filipinas;10450;372;30;455;11307
Bangladesh;7095;113;79;34;7321
Georgia;4422;421;88;439;5370
Armenia;2916;200;30;110;3256
Resto Asia;11013;697;158;613;12481
Total Oceanía;747;94;12;36;889
No consta;207;67;20;45;339
;;;;;
